CODE,NAME
"01","Aguascalientes"
"02","Baja California"
"03","Baja California Sur"
"04","Campeche"
"05","Coahuila de Zaragoza"
"06","Colima"
"07","Chiapas"
"08","Chihuahua"
"09","Distrito Federal"
"10","Durango"
"11","Guanajuato"
"12","Guerrero"
"13","Hidalgo"
"14","Jalisco"
"15","MÃ©xico"
"16","MichoacÃ¡n de Ocampo"
"17","Morelos"
"18","Nayarit"
"19","Nuevo LeÃ³n"
"20","Oaxaca"
"21","Puebla"
"22","QuerÃ©taro"
"23","Quintana Roo"
"24","San Luis PotosÃ­"
"25","Sinaloa"
"26","Sonora"
"27","Tabasco"
"28","Tamaulipas"
"29","Tlaxcala"
"30","Veracruz de Ignacio de la Llave"
"31","YucatÃ¡n"
"32","Zacatecas"
"01","Aguascalientes"
"02","Baja California"
"03","Baja California Sur"
"04","Campeche"
"05","Coahuila de Zaragoza"
"06","Colima"
"07","Chiapas"
"08","Chihuahua"
"09","Distrito Federal"
"10","Durango"
"11","Guanajuato"
"12","Guerrero"
"13","Hidalgo"
"14","Jalisco"
"15","MÃ©xico"
"16","MichoacÃ¡n de Ocampo"
"17","Morelos"
"18","Nayarit"
"19","Nuevo LeÃ³n"
"20","Oaxaca"
"21","Puebla"
"22","QuerÃ©taro"
"23","Quintana Roo"
"24","San Luis PotosÃ­"
"25","Sinaloa"
"26","Sonora"
"27","Tabasco"
"28","Tamaulipas"
"29","Tlaxcala"
"30","Veracruz de Ignacio de la Llave"
"31","YucatÃ¡n"
"32","Zacatecas"
